file_name,text
2243.png,Maternal or paternal female parent of one's parents; elderly family member. style arasaac
2255.png,Two men and a woman who share affection and trust. style arasaac
2364.png,"A narrative work presenting events or actions, often in written or visual form. style arasaac"
2389.png,"Compact electric heater with cylindrical body, metal fins, glowing elements, and steam emission style arasaac"
2359.png,"Spiral-bound notebook used for recording notes, observations, or memoranda in education. style arasaac"
2402.png,"Small, flat, sweet baked goods often containing chocolate chips, served as dessert. style arasaac"
2277.png,"Two‑wheel land transport moved by foot pedals, featuring chain‑driven gears. style arasaac"
2354.png,"Electronic device that runs video games, connected to controller and disc media style arasaac"
2356.png,"Transparent drinking vessel with rounded bowl, slender stem, and circular base for beverages. style arasaac"
2254.png,Eight-legged predatory arachnid that spins silk for cocoons and prey traps style arasaac
2398.png,"Thin cellulose sheets used for writing, printing, and other educational purposes. style arasaac"
2256.png,"Tall woody plant with single trunk and branching canopy, rooted in soil. style arasaac"
2278.png,"Wall-mounted bathroom fixture with curved basin, faucet, and flush button for personal hygiene. style arasaac"
2393.png,Tall green pole supporting a lantern‑style fixture that illuminates streets. style arasaac
2355.png,"Green wheeled container with lid for depositing recyclable items, marked by black apple core. style arasaac"
2273.png,"Seaworthy vessel designed for open‑sea travel, carrying passengers or cargo across water. style arasaac"
2418.png,"To find something enjoyable, feeling pleasure and playful approval toward it. style arasaac"
2307.png,"Miniature replica of a dump truck designed for play, featuring colored cab and cargo bed. style arasaac"
2409.png,"Rectangular eraser attached to pencil, white and light‑blue sections, soft pliable material. style arasaac"
2427.png,"Oval reproductive body of a bird, containing yolk and protective shell style arasaac"
2407.png,"Large flexible envelope filled with heated air, carrying a suspended basket for aerial travel style arasaac"
2260.png,Mechanically operated vertical shaft cabin transporting occupants between building floors. style arasaac
2294.png,"Solid-hoofed herbivorous quadruped mammal, domesticated for centuries, used in sport. style arasaac"
2266.png,"Container for serving granulated sugar, often includes a spoon and accompanies sugar cubes. style arasaac"
2424.png,"Large thick-skinned herbivorous mammal inhabiting African riverbanks, floodplains, and wetlands style arasaac"
2341.png,Kitchen appliance with burners and oven used to heat and prepare food style arasaac
2302.png,"A public, paved pathway enabling vehicular travel along a designated route style arasaac"
2271.png,"Wash one's whole body using water, often in a tub or shower. style arasaac"
2425.png,"Social terrestrial insect forming organized colonies; winged males and queen, wingless worker females style arasaac"
2303.png,"Light‑blue garment covering waist to thighs, featuring a wide waistband and three panels. style arasaac"
2376.png,"Develop illness causing discomfort, nausea, or other adverse health symptoms. style arasaac"
2285.png,"Glass enclosure with filament that glows when powered, mounted in fixtures. style arasaac"
2283.png,Outdoor lawn game using biased wooden balls rolled toward a small target ball. style arasaac
2308.png,"Short‑sleeved garment covering upper torso, featuring collar, buttons, and chest pocket. style arasaac"
2406.png,"Small carnivorous mammal with soft fur, pointed ears, whiskers; domesticated pet. style arasaac"
2293.png,Public metal container with slot and keyhole for depositing letters and parcels. style arasaac
2371.png,Wash one's body under a running stream of water from a showerhead. style arasaac
2417.png,Six‑string wooden fretted instrument producing acoustic tones when strummed or plucked style arasaac
2345.png,Perforated bowl with handle used to separate or grade powdered ingredients. style arasaac
2306.png,Heavy-duty road vehicle with enclosed cargo area for transporting goods. style arasaac
2326.png,"Use a toothbrush to clean teeth, applying toothpaste in a regular oral hygiene routine. style arasaac"
2377.png,"Mixed greens and vegetables tossed with dressing, served as a fresh dish. style arasaac"
2239.png,"Hairy-bodied black‑and‑yellow striped insect with translucent wings, antennae, and pollinating work. style arasaac"
2362.png,"A utensil with a shallow bowl and handle for stirring, serving, or scooping food. style arasaac"
2257.png,"Arboreal rodent with long bushy tail, herbivorous, viviparous, terrestrial mammal. style arasaac"
2311.png,"Loose sleeveless dress for women’s bedtime, featuring fitted bodice and flared skirt. style arasaac"
2333.png,"Vertical flue projecting from a roof, channeling fire smoke out of a building. style arasaac"
2404.png,"Domesticated bird raised for meat and eggs, bright plumage, red comb, blue tail. style arasaac"
2375.png,Female healthcare professional providing skilled care to patients and young children under physician guidance style arasaac
2386.png,"Horizontal planes attached to a frame, providing support for placed objects style arasaac"
2391.png,"Garment piece hanging from waist, covering lower torso, often pleated or flared. style arasaac"
2279.png,"Women's two-piece pink swimsuit with halter top, tied straps, low‑rise bottom, side ties style arasaac"
2320.png,Long-handled spoon with shallow bowl used to transfer and serve liquid foods style arasaac
2284.png,"Portable fashion accessory with curved handle, holding money and small personal items. style arasaac"
2318.png,Pair of handheld wooden percussion pieces clicked together to keep rhythm in dance. style arasaac
2369.png,"Enter a restful state of unconsciousness, fulfilling basic physiological need and routine. style arasaac"
2322.png,optical storage disc that holds digital data accessed by laser readout style arasaac
2348.png,Apply colored liquid to a surface to create or enhance visual appearance. style arasaac
2343.png,"Large aquatic reptile with long snout, powerful jaws, sharp teeth, bony armor. style arasaac"
2392.png,"Primary social group of father, mother, son, and daughter sharing kinship. style arasaac"
2244.png,"Male elderly family member who is the father of one's parent, embodying warm wisdom. style arasaac"
2379.png,"Series of ascending steps with handrail, providing vertical passage within a building style arasaac"
2246.png,"Liquid edible fat extracted from olives, used as cooking and salad condiment. style arasaac"
2347.png,"Ornamental necklace encircling the neck, often jeweled, traditionally worn by women. style arasaac"
2323.png,"Layered bulbous vegetable with aromatic flavor, green shoots sprout from its top. style arasaac"
2385.png,Polished oval surface that forms images by reflecting light; decorative object. style arasaac
2358.png,"Golden-brown layered buttery pastry shaped like a crescent, known for flaky texture. style arasaac"
2327.png,"Domesticated omnivorous mammal with rounded pink body, small ears, curly tail, four legs. style arasaac"
2295.png,"Agile bearded ruminant mammal with straight horns, herbivorous, domesticated for milk. style arasaac"
2315.png,"Emit melodic vocal tones, expressing emotion, often accompanied by musical notes style arasaac"
2344.png,Self‑propelled vehicle using rocket engines to ascend through atmosphere into space. style arasaac
2342.png,"Prepare food by applying heat, often stirring or simmering to create a ready meal. style arasaac"
2374.png,"Intense feeling of hostility, marked by furrowed brows, narrowed eyes, and clenched jaw. style arasaac"
2274.png,Electric hand-held kitchen appliance that combines ingredients using rotating beaters. style arasaac
2259.png,Combination of cooked white rice topped with seasoned red tomato sauce. style arasaac
2361.png,A cylindrical open‑top container and a sturdy handheld shovel for beach or gardening play style arasaac
2405.png,"Round white legume seed used in stews with vegetables, meat or fish. style arasaac"
2305.png,Single‑humped desert camel native to northern Africa and southwestern Asia style arasaac
2337.png,"Large graceful freshwater bird with long neck, white plumage, orange beak, herbivorous. style arasaac"
